Title	Abstract	Keywords	Coordinator	Participants	URL	Interesting
ulTRafast hOlograPHic FTIR microscopY	Many human pathologies such as cancer are due to complex biochemical alterations that start at a sub-cellular level and lead to progressive changes that result in a heterogeneous tumor composition. The polyclonality of tumor cells hampers the diagnosis and the therapy giving rise to tumor clones that lead to therapy resistance and promote metastases. An accurate diagnosis of tumor biopsies to identify these particular cell clones is crucial to provide targeted therapy tailored to the tumor characteristics, to improve the patient outcomes and increase survival rates. For this vision to come true, we introduce ulTRafast hOlograPHic FT-IR microscopY (TROPHY) as a paradigm shift in vibrational microscopy, blending elements of photo-thermal infrared (PT-IR), Fourier transform (FT)-IR, and Digital Holography Microscopy (DHM). TROPHY brings these techniques to the unprecedented ultrafast timescale, where the refractive index change induced by coherent IR vibrations is probed at its peak value before thermal relaxation. TROPHY borrows from PT-IR the combination of IR vibrational excitation with visible probing for high spatial resolution, from FT-IR the use of time-domain interferometry to obtain a high spectral resolution from broadband excitation, from DHM highly sensitive and quantitative detection of the refractive index (phase) change. Combined with artificial intelligence algorithms, this technology will enable quantitative concentration imaging of molecular biomarkers with high spatial resolution, high chemical selectivity and high speed, with a transformative impact on medical research and clinics. In oncology, it will be applied to intraoperative diagnosis of tumor biopsies, providing tumor grading, staging and subtyping, and supporting complete tumor resection. It will also allow to determine the best therapeutic approach tailored to the patient and identify resistant tumor clones under targeted therapy, paving the way for precision medicine in cancer.	Immune-oncology; Microscopy; Oncosurgery; Nonlinear optics; Ultrafast spectroscopy; Digital holography; Vibrational spectroscopy	POLITECNICO DI MILANO - POLIMI	CONSIGLIO NAZIONALE DELLE RICERCHE - CNR; FUNDACIO INSTITUT DE CIENCIES FOTONIQUES - ICFO-CERCA; UNIVERSITATSKLINIKUM JENA -	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101047137/program/43108390/details	
regeNerAtive Resilient smaRt mAnufacTuring nEtworks	"Manufacturing and logistics companies are subject to unforeseen events that disrupt the supply chain, causing production slowdowns, reduced output, and increased costs, making it difficult to meet customer demand. To mitigate these risks, manufacturers must build resilience across entire value chains. 
NARRATE will develop a sophisticated tool using AI, Digital Twin, and IoT technologies allowing end-to-end visibility and control over supply chain operations to monitor and predict potential disruptions, enabling supply chains to achieve improved resilience. 
The Intelligent Manufacturing Custodian (IMC) will leverage data from various production sources to enable proactive decision-making and act as a nerve centre for a supply-chain network, providing real-time monitoring and coordination of intelligent production processes and logistics. Integrating an IMC into a supply-chain will evolve its operations into Smart Manufacturing Network (SMN): a connected and self-orchestrated ecosystem linked end-to-end with programmable Manufacturing-as-a-Service capabilities that can withstand disruptions.
A Digital Twin will provide a reliable model to represent production and operational data of an SMN to unlock deeper IMC intelligence. Collected data will train machine learning models to predict potential disruptions, such as natural disasters or delayed shipments. AI algorithms will analyse the data and provide real-time reporting and visualization on a dashboard. 
The IMC and Digital Twin interaction will generate powerful insights and self-adapting abilities that support an SMN to evolve under human supervision by switching services between multiple external partners to respond to risks and disruptions and improve energy efficiency, product circularity and environmental sustainability across the entire production process.
The effectiveness of NARRATE will be evaluated by testing the IMC in real production environments in quite diverse industry sectors."	supply chain resilience; Manufacturing as a service; digital twins; Artificial intelligence, IoT; data contextualisation; Smart Manufacturing Network; AI Platform; disruption and risk detection	INSTITUTO TECNOLOGICO METALMECANICO, MUEBLE, MADERA, EMBALAJE Y AFINES-AIDIMME - AIDIMME	BUDATEC GMBH -; DHL EXEL SUPPLY CHAIN SPAIN SL - DHL SUPPLY CHAIN	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101138094/program/43108390/details	
iodine Fed Advanced Cusp field Thruster for Mid-Power	iFACT-MP (iodine Fed Advanced Cusp field Thruster for Mid-Power) aims to develop an iodine fed thruster subsystem for the 3-5 kW range. The activity will include work on all the critical building blocks required to enable the realisation of an iodine EP subsystem. This encompasses the upscaling of the Advanced Cusp Field Thruster (ACFT) to that power range at Airbus Friedrichshafen and the development of the fluidic chain at Airbus Toulouse, consisting of the heated iodine reservoir, piping and flow control for the thruster as well as the neutraliser. Further, the necessary verification and formalisation of the fluidic design and iodine handling procedures will be performed to enable the implementation and integration of iodine EP subsystems on platform level. A major building block required to enable a completely iodine based EP chain is an iodine fed neutraliser. For this purpose, further improvements and modifications on C12A7 emitter ceramics will be performed by Fraunhofer IKTS, in close collaboration with the iodine cathode development at Airbus. To validate the necessary control and operational schemes, a breadboard PPU will be developed by Airbus Elancourt that includes all the required supplies, telemetry and functionalities to enable autonomous control of the thruster subsystem. To enable rapid and accurate characterisation of the developed thruster subsystem's performance, an optical iodine flow meter will be developed and integrated by University of Pisa. As currently no test facility exists to perform thruster testing at that power level, a suitable iodine compatible vacuum chamber including a thrust balance and diagnostics will be developed at Aerospazio. This facility will enable full characterisation and 500 h endurance testing of the developed thruster subsystem. To maximise the impact of the project, EASN will coordinate the public presence and communication, dissemination and exploitation activities.	Iodine; ACFT	AIRBUS DEFENCE AND SPACE GMBH -		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101134963/program/43108390/details	
integrated nano-photonic OMICs bio-SENSor for lung cancer	"OMICSENS aims to develop a radically new omics measurement platform that would be initially applied to improve non-small cell lung cancer (NSCLC) prognosis by ensuring a timely and accurate detection of Tyrosine Kinase Inhibitor (TKI) resistance associated to Epidermal Growth Factor Receptor (EGFR) mutations. Subsequently, OMICSENS will be used to improve prognosis of patients suffering from other types of cancers. 
OMICSENS targets the creation of the first nano-photonic integrated omics bio-sensor to tackle TKI resistance and improve NSCLC treatment outcome and patient prognosis. Thanks to OMICSENS, we will build a six layers technology comprised of an on-chip embedded infra-red source arrays, an artificial intelligence optimized nano-structured surface for photonic signal enhancement, a functionalized surface of high absorbance to specific analytes, a microfluidics system to deliver the sample, a metamaterial-based photo detector array with optimized quantum efficiency and an AI algorithm enabling analyte quantification. Our miniaturized omics bio-sensor will enable real time and concurrent measurements of omics, compatible with organ-on-chip (OOC) in the future. OOC is one of the most promising bioengineering developments, paving the way to more efficient drug testing and personalized medicine trough digital twinning of a biological system. But OOC is lacking a real-time, integrated bio-sensing technology. OMICSENS proposes a disruptive bio-sensor to bridge this gap. OMICSENS will create a radically new device useful for telehealth, capable of improving medical diagnostics, while fostering a patient-centered approach. To achieve our novel and ambitious objective, we have brought together an interdisciplinary consortium of top-level academics (LMU, UNITN, IBEC, KTH) and SMEs (MW, QAI, 4K-MEMS), including expertise in oncology, bio-engineering, micro-fluidics, biochemistry, MEMS, nano-photonics, computational physics and artificial intelligence."	Non-small cell lung cancer; Cancer; Biosensor; Organ-on-chip; Omics; Metamaterial; Machine Learning	UNIVERSITA DEGLI STUDI DI TRENTO - UNITN	FUNDACIO INSTITUT DE BIOENGINYERIA DE CATALUNYA - IBEC-CERCA; KUNGLIGA TEKNISKA HOEGSKOLAN - KTH	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101129734/program/43108390/details	
group-IV LASer and deTectors on Si-TEchnology Platform	"Photonics plays a key role in many applications, such as a detection of environmental or toxic gases, analyses of food or health-related products. Those applications depend on the development of highly advanced photonic components working in the mid-infrared (MIR) wavelength range. These components have always been difficult and expensive to make, as they are not compatible with standard microelectronic or photonic fabrication processes.
LASTSTEP ambitions to address this issue by developing the world-first all-Group-IV photonic platform using silicon-germanium-tin alloys (SiGeSn). Focusing on the MIR 2-5 µm region essential for sensing of chemical species, the project aims to ensure a wide scale adoption of the developed technology by offering a fully monolithic solution compatible with standard state-of-the-art 200mm CMOS manufacturing processes. The approach will enable cost-effective solutions for sensing, but also for autonomous navigation or consumer products.
To achieve this objective, LASTSTEP gathers a world class consortium composed of 3 academic partners, 2 RTOs and 3 industrials. The partners are: 
-leaders of a CMOS compatible technology for growth and processing of GeSn direct bandgap alloys in an industry-relevant environment
- two SMEs well-established on the markets of gas and liquid sensing 
- world leading PIC design and test-house company to ensure further exploitation of results.
LASTSTEP will develop four prototypes based on the fully-group-IV photonic platform for two use-cases. Prototypes will first be assembled from discrete components, then integrated on PICs.
LASTSTEP aims to secure for Europe an outstanding position in development and economic exploitation of Si photonics, thereby anticipating maximal return on investment for the EU society. LASTSTEP will bring the decisive further development of Si photonics into a technologically mature MIR platform ready for innovations in the communications, sensing, health, food and safety sector."	Group-IV photonic platform; CMOS-compatible light sources and photodetectors; Mid-infrared range LED; photodetectors; PDs and APDs; electrically pumped GeSn laser; oil and CH4 gas sensing	COMMISSARIAT A L ENERGIE ATOMIQUE ET AUX ENERGIES ALTERNATIVES - CEA	DIAFIR - Diafir; ELICHENS - eLichens	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101070208/program/43108390/details	
enhanced manufacturing of broadly potent equine polyclonal Fab with a Rational Immunization strategy against Coronaviruses	e-FabRIC will develop a new hyperimmunization strategy for generating high titers equine immunoglobulins having a broad neutralizing specificity against viral targets belonging to same subfamily phylogenic tree. The viral subfamily selected to demonstrate the unique benefits of this innovative way to induce highly anti-viral active antibodies is the sarbecovirus subfamily. The equine antibodies will be processed as purified F(ab’)2 fragments, a well-known pharmaceutical product with a strong historical safety record in human patients. The F(ab’)2 antibody fragments generated by e-FabRIC are expected to display a unique and very wide neutralizing activity spectrum. This new property will be the synergistic outcome of the immunization with a nanoparticle co-displaying 8 different sarbecovirus RBD subunits (designated as “mosaic antigen”) and the natural immunogenetic diversity present in individual horses. In each individual horse, the mosaic antigen immunization will drive the generation and maturation of antibodies highly focused on conserved epitope structures shared by the different sarbecovirus RBD subunits and associated with viral neutralization. As each horse's own immunogenetics will mature the mosaic antigen-specific antibodies in a different way, several equine individual antibody specificities will be pooled in order to expand the overall broad viral neutralizing activity of the final pharmaceutical product. The combined multiplicity of individual antibody response diversities and the highly focused antibody responses induced by the mosaic antigen will be the basis of a broadly potent, immunotherapy pharmaceutical F(ab’)2-based product able to significantly reduce the clinical and societal impact of any emergence of a new human sarbecovirus outbreak. The scientific and technical learnings of this new and powerful immunization strategy will be applicable to other viral families from which human infectious threats may arise.	Mosaic-8 antigen; Equine polyclonal antibodies; Anti-viral active antibodies; Sarbecovirus subfamily; Viral neutralization; 3R QC compliance	FABENTECH - FABENTECH	FIPRA INTERNATIONAL SRL -; FUNDACION PARA LA INVESTIGACION BIOMEDICA DEL HOSPITAL UNIVERSITARIO 12 DE OCTUBRE - FIB-H12O	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101137157/program/43108390/details	
an electric Contrast medium for computationally intensive Electroencephalographies for high REsolution BRain imaging withOut skull trepanation	Imaging the brain activity is fundamentally important for many brain-related scientific disciplines. Among the non-invasive neuroimaging strategies, Electroencephalography (EEG) from scalp potentials is one of the primary. In EEG the neuroninduced electric potential is measured by using electrodes on the patient’s scalp. The skull however, highly resistive, shields EEG recordings limiting the spatial resolution. The standard way to avoid skull shielding effects is to invasively implant EEG electrodes under the skull (ECoG) or in the brain cortex (StereoEEG), in both cases after trepanning the patient’s skull. Scalp EEGs are noninvasive but lack spatial imaging accuracy. ECoG and StereoEEG are highly accurate but require skull trepanation and they image only a limited part of the brain. There is the need for increasing the resolution of scalp EEG providing the same level of accuracy of invasive EEGs. This will be the grand challenge which CEREBRO will achieve by conceiving the first ever existing EEG contrast medium, able to provide imaging of the entire brain and in a non-invasive way.		POLITECNICO DI TORINO - POLITO		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101046748/program/43108390/details	
ZERo-carbon building enabling Adaptive opaque Facade technology	Building market demands high indoor environmental quality but is under the pressure of energy price volatility, European policies, targeting a carbon neutral building stock by 2050, and local building regulations. A drastic carbon footprint reduction on the EU building stock is only possible with: (i) a strong reduction of heating and cooling energy demand and (ii) the limitation of the embodied environmental impacts of building materials. We propose a disruptive facade concept, the ZERo-carbon building enabler Adaptive opaque Facade (ZERAF), to get a huge decrease in the operational energy demand, while reducing the environmental impact of new and existing buildings through novel materials. ZERAF concept enables shifting the opaque building façade systems from being static thermal barriers to thermal modulators. The disruptive configurations of opaque façade technology and the use of novel materials (smart Shape Memory Alloys, and new generation bio-based polyurethanes) enable such a dynamic thermal control. Moreover, ZERAF minimizes the number of primary sources (in terms of volume and diversity) and then of the embodied carbon. ZERAF radically reconceptualizes the adaptive opaque facades concept, taking the opportunity of doing high-risk/low-TRL research in an interdisciplinary environment to bring cutting edge novelties from aerospace, biomedicine, nanomaterials, chemistry and IOT to building sector. The objective is to scientifically prove that ZERAF concept can control all heat transfer mechanisms in opaque building façades to a significant level. Prototypes will be manufactured for the first time and their thermal behaviour will be characterized in a dedicated laboratory coupling a calorimeter and a continuous sun simulator. To prove that used materials, fabrication processes and assembly methods do not jeopardize the carbon footprint reduction, most relevant sustainability parameters will be quantified through a building life cycle method.	energy saving; opaque facades as thermal modulators; smart materials; adaptive insulation; bio-based polyurethanes; control algorithms; carbon neutrality; buildings;	ACCADEMIA EUROPEA DI BOLZANO - Eurac Research	ACTIVE INSULATION SYSTEMS B.V. -; INDRESMAT SL - INDRESMAT	https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101098490/program/43108390/details	
Youth co-Production for sustainable Engagement and Empowerment in health	"Most traditional youth mental health interventions fail to achieve sustainable impact at scale because they overly rely on individualized, medical illness-focused models and treat youth as passive beneficiaries. citiesRISE, a multi-stakeholder initiative founded in 2017 to address these gaps, has worked with youth, communities, and professionals across five cities, as well as social innovators in over twenty countries, to develop a set of evidence-based, scalable youth mental health interventions and implementation models. The YiPEE project aims to provide robust evidence on the feasibility, adaptability, effectiveness, and cost-effectiveness of a multi-component intervention targeting the inner, social, and environmental dimensions that underpin mental health and broader NCD risk reduction outcomes, when implemented using a youth-informed and -activated approach. This will be achieved through a a mixed-methods approach, conducting a realist evaluation across the four sites (Chennai, India; Nairobi, Kenya; Cape Town, South Africa; Stockholm, Sweden) to study key implementation outcomes following the Practical Robust Implementation and Sustainability Model (PRISM) as well as the mechanisms underlying why the intervention works, for whom, and under what real-world conditions. In Chennai, YiPEE will conduct a randomized controlled trial for more robust evaluation of effectiveness and cost-effectiveness in achieving key mental health and other NCD related lifestyle behavioral outcomes.
YiPEE focuses on the combination of a school-based multicomponent intervention targeting positive disruption in the inner, social, and environmental dimensions of adolescents’ mental health and a youth-informed and -activated implementation model that puts young people at the centre of transformation, working collaboratively with a range of other stakeholders. "	mental health; non-communicable diseases; youth-centered approach; mixed-methods; RCT	KAROLINSKA INSTITUTET - KI		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101095659/program/43108390/details	
Wholistic and Integrated digitaL tools for extended Lifetime and profitability of Offshore Wind farms	"Wind energy takes on a large share in the energy market and will play a crucial role in securing the stability of power grids in the future. However, operation of wind farms, and especially offshore wind farms, are not yet ideal. The operation in fluctuating conditions of wind availability and power grids demand as well as the harsh environmental condition where the offshore wind farms are built, have a negative effect on the structure health of the wind turbines, and therefore on their useful lifetime. 
In this context, WILLOW will develop an integrated system that will provide an open-source, data-driven smart curtailment solution to the Wind Farm Operators with the basis of an integrated Wind Farm Control system looking for a trade-off between the power production and the lifetime consumption. With this aim, WILLOW pretends to design a novel Structural Health Monitoring (SHM) System able to provide high quality data to perform a reliable fleet life assessment using physical models and data-based AI methods which will be used for decision-making and maintenance scheduling. This will contribute to the reduction of the Levelized Cost of Energy (LCOE) and to the increase of the Annual Energy Production (AEP) towards the current trend of design and operating life of offshore wind farms with up to 20 MW turbines beyond 50 years.
The WILLOW consortium consists of 12 partners with complementary assets and founded expertise, capable to take on the challenge set out by the topic. "	Offshore wind energy; Wind farm decision-making; O&M cost reduction; LCoE reduction; SHM System; Lifetime extension	ASOCIACION CENTRO TECNOLOGICO CEIT - Ceit		https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/how-to-participate/org-details/999999999/project/101122184/program/43108390/details	
